Country;Building Name;Cost Center;Grid;Month;Year;Account Number;Amount FX;Avg kW;KWH;SAP Number
BRASIL;ARGENTINA;J639LT1;NODO;11;2020;61210005;4,87;0,00;30,00;186586
BRASIL;ARGENTINA;J639LT1;NODO;01;2021;61210005;5,06;0,00;30,00;186586
BRASIL;ARGENTINA;J639LT1;NODO;02;2021;61210005;5,00;0,00;30,00;186586
BRASIL;ARGENTINA;J639LT1;NODO;03;2021;61210005;5,01;0,00;30,00;186586
BRASIL;ARGENTINA;J639LT1;NODO;04;2021;61210005;5,24;0,00;30,00;186586
BRASIL;ASCENTY DATA CENTERS E TELECOMUNICA;J639LT1;DATACENTER;01;2021;61210005;1.133,31;0,00;0,00;189581
BRASIL;ASCENTY DATA CENTERS E TELECOMUNICA;J639LT1;DATACENTER;02;2021;61210005;1.133,31;0,00;0,00;189581
BRASIL;ASCENTY DATA CENTERS E TELECOMUNICA;J639LT1;DATACENTER;03;2021;61210005;1.076,13;0,00;0,00;189857
BRASIL;ASCENTY DATA CENTERS E TELECOMUNICA;J639LT1;DATACENTER;04;2021;61210005;1.289,58;0,00;0,00;186287
BRASIL;ATIBAIA;J639LT1;SHELTER;10;2020;61210005;1.172,34;0,00;2.078,00;187647
BRASIL;ATIBAIA;J639LT1;SHELTER;11;2020;61210005;1.067,28;0,00;2.262,00;187647
BRASIL;ATIBAIA;J639LT1;SHELTER;12;2020;61210005;1.188,71;0,00;7.800,00;187647
BRASIL;ATIBAIA;J639LT1;SHELTER;01;2021;61210005;1.275,91;0,00;8.640,00;187647
BRASIL;ATIBAIA;J639LT1;SHELTER;02;2021;61210005;1.265,80;0,00;8.760,00;187647
BRASIL;ATIBAIA;J639LT1;SHELTER;03;2021;61210005;1.095,22;0,00;7.480,00;187647
BRASIL;ATIBAIA;J639LT1;SHELTER;04;2021;61210005;1.323,31;0,00;9.120,00;187647
PANAMA;Balboa Telehouse;K631LT6;TELEPORTO;01;2021;65366540;0,00;0,00;9.919,62;ATK12345
PANAMA;Balboa Telehouse;K631LT6;TELEPORTO;02;2021;65366540;0,00;0,00;8.442,73;ATK12345
PANAMA;Balboa Telehouse;K631LT6;TELEPORTO;03;2021;65366540;0,00;0,00;9.010,76;ATK12345
BRASIL;BALSA NOVA;J639LT1;SHELTER;10;2020;61210005;279,24;0,00;45.395,00;186585
BRASIL;BALSA NOVA;J639LT1;SHELTER;11;2020;61210005;230,20;0,00;46.942,00;186585
BRASIL;BALSA NOVA;J639LT1;SHELTER;12;2020;61210005;238,90;0,00;1.536,00;186585
BRASIL;BALSA NOVA;J639LT1;SHELTER;01;2021;61210005;333,52;0,00;2.029,00;186585
BRASIL;BALSA NOVA;J639LT1;SHELTER;02;2021;61210005;311,82;0,00;2.033,00;186585
BRASIL;BALSA NOVA;J639LT1;SHELTER;03;2021;61210005;235,40;0,00;1.531,00;186585
BRASIL;BALSA NOVA;J639LT1;SHELTER;04;2021;61210005;309,82;0,00;2.039,00;186585
BRASIL;BARBACENA;J639LT1;SHELTER;10;2020;61210005;40,58;0,00;440,00;187744
BRASIL;BARBACENA;J639LT1;SHELTER;12;2020;61210005;45,35;0,00;3.040,00;187744
BRASIL;BARBACENA;J639LT1;SHELTER;01;2021;61210005;43,13;0,00;3.260,00;187744
BRASIL;BARBACENA;J639LT1;SHELTER;02;2021;61210005;65,03;0,00;3.280,00;187744
BRASIL;BARBACENA;J639LT1;SHELTER;03;2021;61210005;52,63;0,00;3.080,00;187744
BRASIL;BARBACENA;J639LT1;SHELTER;04;2021;61210005;36,78;0,00;3.240,00;187744
BRASIL;BARRA FUNDA;J639LT1;NODO;10;2020;61210005;293,89;0,00;75.779,00;185934
BRASIL;BARRA FUNDA;J639LT1;NODO;11;2020;61210005;247,43;0,00;77.666,00;185934
BRASIL;BARRA FUNDA;J639LT1;NODO;12;2020;61210005;258,22;0,00;1.919,00;185934
BRASIL;BARRA FUNDA;J639LT1;NODO;01;2021;61210005;270,37;0,00;1.906,00;185934
BRASIL;BARRA FUNDA;J639LT1;NODO;02;2021;61210005;268,24;0,00;2.012,00;185934
BRASIL;BARRA FUNDA;J639LT1;NODO;03;2021;61210005;224,67;0,00;1.644,00;185934
BRASIL;BARRA FUNDA;J639LT1;NODO;04;2021;61210005;262,32;0,00;1.950,00;185934
BRASIL;BENTO GONÇALVES;J639LT1;SHELTER;10;2020;61210005;475,76;0,00;53.171,00;189054
BRASIL;BENTO GONÇALVES;J639LT1;SHELTER;11;2020;61210005;374,80;0,00;55.287,00;189054
BRASIL;BENTO GONÇALVES;J639LT1;SHELTER;01;2021;61210005;875,15;0,00;4.660,00;189054
BRASIL;BENTO GONÇALVES;J639LT1;SHELTER;02;2021;61210005;343,32;0,00;2.327,00;189054
BRASIL;BENTO GONÇALVES;J639LT1;SHELTER;03;2021;61210005;423,30;0,00;2.338,00;189054
BRASIL;BENTO GONÇALVES;J639LT1;SHELTER;04;2021;61210005;858,06;0,00;4.794,00;189054
BRASIL;BERRINE;J639LT1;NODO;10;2020;61210005;4.980,49;0,00;72.686,00;185934
BRASIL;BERRINE;J639LT1;NODO;11;2020;61210005;5.578,91;0,00;73.774,00;185934
BRASIL;BERRINE;J639LT1;NODO;12;2020;61210005;5.157,05;0,00;39.680,00;185934
BRASIL;BERRINE;J639LT1;NODO;01;2021;61210005;5.829,90;0,00;41.680,00;185934
BRASIL;BERRINE;J639LT1;NODO;03;2021;61210005;5.034,06;0,00;37.760,00;185934
BRASIL;BERRINE;J639LT1;NODO;04;2021;61210005;5.773,94;0,00;43.840,00;185934
BRASIL;BETIM;J639LT1;SHELTER;10;2020;61210005;30,79;0,00;827,00;187744
BRASIL;BETIM;J639LT1;SHELTER;01;2021;61210005;73,45;0,00;336,00;187744
BRASIL;BETIM;J639LT1;SHELTER;02;2021;61210005;32,35;0,00;1.640,00;187744
BRASIL;BETIM;J639LT1;SHELTER;03;2021;61210005;32,06;0,00;1.800,00;187744
BRASIL;BETIM;J639LT1;SHELTER;04;2021;61210005;32,24;0,00;1.921,00;187744
BRASIL;BEXIGA;J639LT1;SHELTER;10;2020;61210005;506,60;0,00;89.731,00;189821
BRASIL;BEXIGA;J639LT1;SHELTER;11;2020;61210005;592,48;0,00;92.145,00;189821
BRASIL;BEXIGA;J639LT1;SHELTER;12;2020;61210005;450,69;0,00;2.771,00;189821
BRASIL;BEXIGA;J639LT1;SHELTER;01;2021;61210005;397,03;0,00;2.271,00;189821
BRASIL;BEXIGA;J639LT1;SHELTER;02;2021;61210005;432,36;0,00;2.583,00;189821
BRASIL;BEXIGA;J639LT1;SHELTER;03;2021;61210005;446,36;0,00;2.672,00;189821
BRASIL;BEXIGA;J639LT1;SHELTER;04;2021;61210005;378,72;0,00;2.310,00;189821
BRASIL;BH 1;J639LT1;NODO;10;2020;61210005;19,58;0,00;574,00;187744
BRASIL;BH 1;J639LT1;NODO;12;2020;61210005;909,70;0,00;6.320,00;187744
BRASIL;BH 1;J639LT1;NODO;01;2021;61210005;1.051,38;0,00;5.873,00;187744
BRASIL;BH 1;J639LT1;NODO;02;2021;61210005;1.131,83;0,00;7.400,00;187744
BRASIL;BH 1;J639LT1;NODO;03;2021;61210005;1.490,59;0,00;15.600,00;187744
BRASIL;BH 1;J639LT1;NODO;04;2021;61210005;2.894,52;0,00;17.800,00;187744
BRASIL;BH 2;J639LT1;NODO;10;2020;61210005;275,20;0,00;60.676,00;187744
BRASIL;BH 2;J639LT1;NODO;12;2020;61210005;277,61;0,00;47.760,00;187744
BRASIL;BH 2;J639LT1;NODO;01;2021;61210005;25,01;0,00;63.814,00;187744
BRASIL;BH 2;J639LT1;NODO;02;2021;61210005;293,83;0,00;46.200,00;187744
BRASIL;BH 2;J639LT1;NODO;03;2021;61210005;163,90;0,00;100,00;187744
BRASIL;BH 2;J639LT1;NODO;04;2021;61210005;218,28;0,00;39.120,00;187744
BRASIL;BRASILIA;J639LT1;NODO;10;2020;61210005;3.460,22;0,00;39.864,00;187744
BRASIL;BRASILIA;J639LT1;NODO;11;2020;61210005;4,87;0,00;28,00;187744
BRASIL;BRASILIA;J639LT1;NODO;12;2020;61210005;3.335,18;0,00;532,00;187744
BRASIL;BRASILIA;J639LT1;NODO;01;2021;61210005;4.342,74;0,00;27.594,00;187744
BRASIL;BRASILIA;J639LT1;NODO;02;2021;61210005;3.228,67;0,00;15.704,40;187744
BRASIL;BRASILIA;J639LT1;NODO;03;2021;61210005;3.549,67;0,00;24.810,00;187744
BRASIL;BRASILIA;J639LT1;NODO;04;2021;61210005;3.604,36;0,00;26.662,00;187744
BRASIL;BROOKLIN;J639LT1;NODO;10;2020;61210005;610,61;0,00;1.260,00;185934
BRASIL;BROOKLIN;J639LT1;NODO;11;2020;61210005;594,12;0,00;1.362,00;185934
BRASIL;BROOKLIN;J639LT1;NODO;12;2020;61210005;733,80;0,00;4.680,00;185934
BRASIL;BROOKLIN;J639LT1;NODO;01;2021;61210005;484,57;0,00;3.160,00;185934
BRASIL;BROOKLIN;J639LT1;NODO;02;2021;61210005;823,12;0,00;5.760,00;185934
BRASIL;BROOKLIN;J639LT1;NODO;03;2021;61210005;689,54;0,00;4.640,00;185934
BRASIL;BROOKLIN;J639LT1;NODO;04;2021;61210005;568,87;0,00;4.280,00;185934
BRASIL;BT COMMUNICATIONS DO BRASIL LTDA;J639LT1;DATACENTER;01;2021;61210005;1.889,03;0,00;0,00;195225
BRASIL;BT COMMUNICATIONS DO BRASIL LTDA;J639LT1;DATACENTER;02;2021;61210005;1.889,03;0,00;0,00;195225
BRASIL;BT COMMUNICATIONS DO BRASIL LTDA;J639LT1;DATACENTER;03;2021;61210005;1.889,03;0,00;0,00;195225
BRASIL;BT COMMUNICATIONS DO BRASIL LTDA;J639LT1;DATACENTER;04;2021;61210005;1.889,03;0,00;0,00;195225
ARGENTINA;Cable Landing Las Toninas;J638LT1;CABLE STATION;01;2021;61210005;4.961,36;0,00;121.293,00;191154
ARGENTINA;Cable Landing Las Toninas;J638LT1;CABLE STATION;02;2021;61210005;4.655,86;0,00;111.399,00;191154
ARGENTINA;Cable Landing Las Toninas;J638LT1;CABLE STATION;03;2021;61210005;4.960,69;0,00;121.915,00;191154
PERU;Cable Landing Lurin;J644LT6;CABLE STATION;01;2021;65366540;19.457,09;0,00;229.929,28;187039
PERU;Cable Landing Lurin;J644LT6;CABLE STATION;02;2021;65366540;18.120,50;0,00;207.652,73;187039
PERU;Cable Landing Lurin;J644LT6;CABLE STATION;03;2021;65366540;18.867,85;0,00;222.286,41;187039
PERU;Cable Landing Lurin;J644LT6;CABLE STATION;04;2021;65366540;17.456,30;0,00;200.656,90;187039
MEXICO;Cable Landing Mazatlan;J646LT6;CABLE STATION;01;2021;65366540;6.950,27;0,00;72.718,00;190280
MEXICO;Cable Landing Mazatlan;J646LT6;CABLE STATION;02;2021;65366540;6.745,11;0,00;67.774,00;190280
MEXICO;Cable Landing Mazatlan;J646LT6;CABLE STATION;03;2021;65366540;7.843,10;0,00;75.026,00;190280
MEXICO;Cable Landing Mazatlan;J646LT6;CABLE STATION;04;2021;65366540;7.626,37;0,00;75.856,00;190280
COLOMBIA;Cable Landing Punta Bazan;J642LT1;CABLE STATION;01;2021;61210005;9.007,13;0,00;55.440,00;191416
BRASIL;CABLE LANDING RIO DE JANEIRO;J639LT6;CABLE STATION;10;2020;65366540;8.954,86;0,00;186,45;189660
BRASIL;CABLE LANDING RIO DE JANEIRO;J639LT6;CABLE STATION;11;2020;65366540;8.584,75;0,00;178,74;189660
BRASIL;CABLE LANDING RIO DE JANEIRO;J639LT6;CABLE STATION;12;2020;65366540;9.081,89;0,00;189,09;189660
BRASIL;CABLE LANDING RIO DE JANEIRO;J639LT6;CABLE STATION;01;2021;65366540;11.824,15;0,00;0,00;186585
BRASIL;CABLE LANDING RIO DE JANEIRO;J639LT6;CABLE STATION;02;2021;65366540;8.453,21;0,00;176.213,00;701985
BRASIL;CABLE LANDING RIO DE JANEIRO;J639LT6;CABLE STATION;03;2021;65366540;5.448,84;0,00;0,00;186585
BRASIL;CABLE LANDING RIO DE JANEIRO;J639LT6;CABLE STATION;04;2021;65366540;10.972,89;0,00;0,00;186585
BRASIL;CABLE LANDING SANTOS;J639LT6;CABLE STATION;10;2020;65366540;9.621,40;0,00;200,33;189660
BRASIL;CABLE LANDING SANTOS;J639LT6;CABLE STATION;11;2020;65366540;9.655,55;0,00;201,04;189660
BRASIL;CABLE LANDING SANTOS;J639LT6;CABLE STATION;12;2020;65366540;10.036,08;0,00;208.961,00;189660
BRASIL;CABLE LANDING SANTOS;J639LT6;CABLE STATION;01;2021;65366540;9.323,31;0,00;0,00;187623
BRASIL;CABLE LANDING SANTOS;J639LT6;CABLE STATION;02;2021;65366540;9.657,39;0,00;201.315,00;701985
BRASIL;CABLE LANDING SANTOS;J639LT6;CABLE STATION;03;2021;65366540;9.172,21;0,00;0,00;187623
BRASIL;CABLE LANDING SANTOS;J639LT6;CABLE STATION;04;2021;65366540;8.394,91;0,00;0,00;187623
MEXICO;Cable Landing Tijuana;J646LT6;CABLE STATION;01;2021;65366540;2.955,21;0,00;41.286,00;190280
MEXICO;Cable Landing Tijuana;J646LT6;CABLE STATION;02;2021;65366540;2.924,73;0,00;38.794,00;190280
MEXICO;Cable Landing Tijuana;J646LT6;CABLE STATION;03;2021;65366540;3.119,84;0,00;43.512,00;190280
MEXICO;Cable Landing Tijuana;J646LT6;CABLE STATION;04;2021;65366540;3.259,92;0,00;43.722,00;190280
CHILE;Cable Landing Valparaiso;J645LT1;CABLE STATION;12;2020;61210005;19.770,59;0,00;123.000,00;189909
CHILE;Cable Landing Valparaiso;J645LT1;CABLE STATION;01;2021;61210005;16.558,73;0,00;122.400,00;189909
CHILE;Cable Landing Valparaiso;J645LT1;CABLE STATION;02;2021;61210005;15.780,85;0,00;115.500,00;189909
BRASIL;CACEQUI;J639LT1;SHELTER;10;2020;61210005;488,71;0,00;85.420,00;189054
BRASIL;CACEQUI;J639LT1;SHELTER;11;2020;61210005;323,39;0,00;87.345,00;189054
BRASIL;CACEQUI;J639LT1;SHELTER;01;2021;61210005;490,25;0,00;2.741,00;189054
BRASIL;CACEQUI;J639LT1;SHELTER;02;2021;61210005;549,65;0,00;3.219,00;189054
BRASIL;CACEQUI;J639LT1;SHELTER;03;2021;61210005;479,60;0,00;2.676,00;189054
BRASIL;CACEQUI;J639LT1;SHELTER;04;2021;61210005;471,31;0,00;2.641,00;189054
BRASIL;CAMPINA GRANDE;J639LT1;SHELTER;10;2020;61210005;453,19;0,00;27.306,00;186585
BRASIL;CAMPINA GRANDE;J639LT1;SHELTER;11;2020;61210005;429,11;0,00;30.460,00;186585
BRASIL;CAMPINA GRANDE;J639LT1;SHELTER;12;2020;61210005;20,45;0,00;4,10;186585
BRASIL;CAMPINA GRANDE;J639LT1;SHELTER;01;2021;61210005;560,15;0,00;3.498,00;186585
BRASIL;CAMPINA GRANDE;J639LT1;SHELTER;02;2021;61210005;493,50;0,00;3.589,00;186585
BRASIL;CAMPINA GRANDE;J639LT1;SHELTER;03;2021;61210005;1.111,61;0,00;7.408,00;186585
BRASIL;CAMPINA GRANDE;J639LT1;SHELTER;04;2021;61210005;589,29;0,00;3.905,00;186585
BRASIL;CAMPINAS 2112;J639LT1;NODO;10;2020;61210005;545,79;0,00;37.771,00;187571
BRASIL;CAMPINAS 2112;J639LT1;NODO;11;2020;61210005;480,89;0,00;41.296,00;187571
BRASIL;CAMPINAS 2112;J639LT1;NODO;12;2020;61210005;600,16;0,00;4.024,00;187571
BRASIL;CAMPINAS 2112;J639LT1;NODO;01;2021;61210005;522,19;0,00;3.709,00;187571
BRASIL;CAMPINAS 2112;J639LT1;NODO;02;2021;61210005;477,67;0,00;3.439,00;187571
BRASIL;CAMPINAS 2112;J639LT1;NODO;03;2021;61210005;536,58;0,00;3.812,00;187571
BRASIL;CAMPINAS 2112;J639LT1;NODO;04;2021;61210005;0,00;0,00;44,00;187571
BRASIL;CAMPINAS 2113;J639LT1;NODO;10;2020;61210005;9,36;0,00;41.998,00;187571
BRASIL;CAMPINAS 2113;J639LT1;NODO;11;2020;61210005;7,86;0,00;42.056,00;187571
BRASIL;CAMPINAS 2113;J639LT1;NODO;12;2020;61210005;0,00;0,00;50,00;187571
BRASIL;CAMPINAS 2113;J639LT1;NODO;01;2021;61210005;18,05;0,00;76,00;187571
BRASIL;CAMPINAS 2113;J639LT1;NODO;02;2021;61210005;0,00;0,00;41,00;187571
BRASIL;CAMPINAS 2113;J639LT1;NODO;03;2021;61210005;31,11;0,00;151,00;187571
BRASIL;CAMPINAS 2113;J639LT1;NODO;04;2021;61210005;547,75;0,00;3.874,00;187571
BRASIL;CAREAÇU;J639LT1;SHELTER;10;2020;61210005;48,64;0,00;22.516,00;187744
BRASIL;CAREAÇU;J639LT1;SHELTER;12;2020;61210005;94,74;0,00;6.800,00;187744
BRASIL;CAREAÇU;J639LT1;SHELTER;01;2021;61210005;53,55;0,00;6.802,00;187744
BRASIL;CAREAÇU;J639LT1;SHELTER;02;2021;61210005;50,80;0,00;5.840,00;187744
BRASIL;CAREAÇU;J639LT1;SHELTER;03;2021;61210005;0,00;0,00;6.480,00;187744
BRASIL;CAREAÇU;J639LT1;SHELTER;04;2021;61210005;0,00;0,00;6.480,00;187744
BRASIL;CENESP;J639LT1;NODO;10;2020;61210005;108,39;0,00;94.445,00;185934
BRASIL;CENESP;J639LT1;NODO;11;2020;61210005;100,81;0,00;95.187,00;185934
BRASIL;CENESP;J639LT1;NODO;12;2020;61210005;117,42;0,00;828,00;185934
BRASIL;CENESP;J639LT1;NODO;01;2021;61210005;110,16;0,00;767,00;185934
BRASIL;CENESP;J639LT1;NODO;02;2021;61210005;99,69;0,00;720,00;185934
BRASIL;CENESP;J639LT1;NODO;03;2021;61210005;114,42;0,00;816,00;185934
BRASIL;CENESP;J639LT1;NODO;04;2021;61210005;106,81;0,00;768,00;185934
BRASIL;CENTRO VELHO;J639LT1;NODO;10;2020;61210005;231,31;0,00;8.205,00;185934
BRASIL;CENTRO VELHO;J639LT1;NODO;11;2020;61210005;201,31;0,00;84.405,00;185934
BRASIL;CENTRO VELHO;J639LT1;NODO;12;2020;61210005;248,32;0,00;1.667,00;185934
BRASIL;CENTRO VELHO;J639LT1;NODO;01;2021;61210005;234,86;0,00;1.566,00;185934
BRASIL;CENTRO VELHO;J639LT1;NODO;02;2021;61210005;211,77;0,00;1.472,00;185934
BRASIL;CENTRO VELHO;J639LT1;NODO;03;2021;61210005;246,83;0,00;1.683,00;185934
BRASIL;CENTRO VELHO;J639LT1;NODO;04;2021;61210005;205,88;0,00;1.521,00;185934
BRASIL;CITTA AMÉRICA;J639LT1;NODO;10;2020;61210005;0,00;0,00;15.996,00;186586
BRASIL;CITTA AMÉRICA;J639LT1;NODO;11;2020;61210005;16,22;0,00;16.098,00;186586
BRASIL;CITTA AMÉRICA;J639LT1;NODO;01;2021;61210005;15,92;0,00;95,00;186586
BRASIL;CITTA AMÉRICA;J639LT1;NODO;02;2021;61210005;15,35;0,00;92,00;186586
BRASIL;CITTA AMÉRICA;J639LT1;NODO;03;2021;61210005;19,19;0,00;106,00;186586
BRASIL;CITTA AMÉRICA;J639LT1;NODO;04;2021;61210005;17,09;0,00;97,00;186586
BRASIL;COMD.DO EDIF.COMERCIAL ATAULFO CORP;J639LT1;DATACENTER;01;2021;61210005;21,45;0,00;0,00;186738
BRASIL;COMD.DO EDIF.COMERCIAL ATAULFO CORP;J639LT1;DATACENTER;02;2021;61210005;26,97;0,00;0,00;186738
BRASIL;COMD.DO EDIF.COMERCIAL ATAULFO CORP;J639LT1;DATACENTER;03;2021;61210005;26,97;0,00;0,00;186738
BRASIL;COMD.DO EDIF.COMERCIAL ATAULFO CORP;J639LT1;DATACENTER;04;2021;61210005;26,97;0,00;0,00;186738
BRASIL;COND ED CENTRO EMPR INTERN RIO;J639LT1;DATACENTER;01;2021;61210005;42,67;0,00;0,00;189056
BRASIL;COND ED CENTRO EMPR INTERN RIO;J639LT1;DATACENTER;02;2021;61210005;36,98;0,00;0,00;189056
BRASIL;COND ED CENTRO EMPR INTERN RIO;J639LT1;DATACENTER;03;2021;61210005;35,98;0,00;0,00;189056
BRASIL;COND ED CENTRO EMPR INTERN RIO;J639LT1;DATACENTER;04;2021;61210005;41,22;0,00;0,00;189056
BRASIL;CONGONHAS;J639LT1;SHELTER;10;2020;61210005;39,44;0,00;31.498,00;187744
BRASIL;CONGONHAS;J639LT1;SHELTER;12;2020;61210005;164,47;0,00;4.256,00;187744
BRASIL;CONGONHAS;J639LT1;SHELTER;01;2021;61210005;42,78;0,00;4.258,00;187744
BRASIL;CONGONHAS;J639LT1;SHELTER;02;2021;61210005;44,50;0,00;4.332,00;187744
BRASIL;CONGONHAS;J639LT1;SHELTER;03;2021;61210005;24,26;0,00;4.094,00;187744
BRASIL;CONGONHAS;J639LT1;SHELTER;04;2021;61210005;139,67;0,00;4.129,00;187744
EQUADOR;Datacenter Carcelen Quito;J637LT6;TELEPORTO;11;2020;65366540;0,00;0,00;13.692,27;188693
EQUADOR;Datacenter Carcelen Quito;J637LT6;TELEPORTO;12;2020;65366540;0,00;0,00;159.400,50;188693
EQUADOR;Datacenter Carcelen Quito;J637LT6;TELEPORTO;01;2021;65366540;0,00;0,00;156.989,40;188693
EQUADOR;Datacenter Carcelen Quito;J637LT6;TELEPORTO;02;2021;65366540;0,00;0,00;144.324,00;188693
EQUADOR;Datacenter Carcelen Quito;J637LT6;TELEPORTO;03;2021;65366540;0,00;0,00;164.153,16;188693
EQUADOR;Datacenter Carcelen Quito;J637LT6;TELEPORTO;04;2021;65366540;0,00;0,00;164.278,56;188693
BRASIL;DIADEMA;J639LT1;NODO;10;2020;61210005;79,05;0,00;544,00;185934
BRASIL;DIADEMA;J639LT1;NODO;11;2020;61210005;106,33;0,00;517,00;185934
BRASIL;DIADEMA;J639LT1;NODO;12;2020;61210005;128,32;0,00;800,00;185934
BRASIL;DIADEMA;J639LT1;NODO;01;2021;61210005;122,61;0,00;756,00;185934
BRASIL;DIADEMA;J639LT1;NODO;02;2021;61210005;110,37;0,00;703,00;185934
BRASIL;DIADEMA;J639LT1;NODO;03;2021;61210005;126,57;0,00;800,00;185934
BRASIL;DIADEMA;J639LT1;NODO;04;2021;61210005;127,48;0,00;816,00;185934
BRASIL;DOIS IRMÃOS;J639LT1;SHELTER;10;2020;61210005;159,47;0,00;6.532,00;189054
BRASIL;DOIS IRMÃOS;J639LT1;SHELTER;11;2020;61210005;69,83;0,00;6.953,00;189054
BRASIL;DOIS IRMÃOS;J639LT1;SHELTER;01;2021;61210005;162,03;0,00;852,00;189054
BRASIL;DOIS IRMÃOS;J639LT1;SHELTER;02;2021;61210005;201,74;0,00;1.162,00;189054
BRASIL;DOIS IRMÃOS;J639LT1;SHELTER;03;2021;61210005;160,30;0,00;866,00;189054
BRASIL;DOIS IRMÃOS;J639LT1;SHELTER;04;2021;61210005;14,66;0,00;93,00;189054
BRASIL;ED ANTONIO HUESPE;J639LT1;DATACENTER;01;2021;61210005;21,40;0,00;0,00;189317
BRASIL;ED ANTONIO HUESPE;J639LT1;DATACENTER;02;2021;61210005;21,40;0,00;0,00;189317
BRASIL;ED ANTONIO HUESPE;J639LT1;DATACENTER;03;2021;61210005;21,40;0,00;0,00;189317
BRASIL;ED ANTONIO HUESPE;J639LT1;DATACENTER;04;2021;61210005;21,40;0,00;0,00;189317
BRASIL;ED EDMA;J639LT1;DATACENTER;01;2021;61210005;21,40;0,00;0,00;187738
BRASIL;ED EDMA;J639LT1;DATACENTER;02;2021;61210005;21,40;0,00;0,00;187738
BRASIL;ED EDMA;J639LT1;DATACENTER;03;2021;61210005;21,40;0,00;0,00;187738
BRASIL;ED EDMA;J639LT1;DATACENTER;04;2021;61210005;21,40;0,00;0,00;187738
BRASIL;EDIFICIO TABAPUA OFFICES 474;J639LT1;DATACENTER;01;2021;61210005;21,53;0,00;0,00;186742
BRASIL;EDIFICIO TABAPUA OFFICES 474;J639LT1;DATACENTER;02;2021;61210005;21,53;0,00;0,00;186742
BRASIL;EDIFICIO TABAPUA OFFICES 474;J639LT1;DATACENTER;03;2021;61210005;21,53;0,00;0,00;186742
